Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
50,50,6,5,45,45,0,Train/1/00001_00002_00007.png
50,51,6,6,45,46,0,Train/1/00001_00002_00008.png
49,50,5,5,44,45,0,Train/1/00001_00002_00009.png
50,51,6,5,45,45,0,Train/1/00001_00002_00010.png
52,53,6,5,47,47,0,Train/1/00001_00002_00011.png
52,55,5,6,47,50,0,Train/1/00001_00002_00012.png
52,55,5,6,47,50,0,Train/1/00001_00002_00013.png
54,56,6,6,49,51,0,Train/1/00001_00002_00014.png
52,55,6,5,47,50,0,Train/1/00001_00002_00015.png
53,55,6,5,47,49,0,Train/1/00001_00002_00016.png
54,56,6,6,48,50,0,Train/1/00001_00002_00017.png
56,57,6,6,50,52,0,Train/1/00001_00002_00018.png
57,56,6,5,52,51,0,Train/1/00001_00002_00019.png
57,57,6,6,52,52,0,Train/1/00001_00002_00020.png
58,58,6,6,53,53,0,Train/1/00001_00002_00021.png
60,59,5,5,54,54,0,Train/1/00001_00002_00022.png
62,63,5,6,57,58,0,Train/1/00001_00002_00023.png
63,64,5,6,58,59,0,Train/1/00001_00002_00024.png
63,64,5,6,58,59,0,Train/1/00001_00002_00025.png
64,64,5,6,59,59,0,Train/1/00001_00002_00026.png
70,68,6,7,64,62,0,Train/1/00001_00002_00027.png
72,69,6,6,66,63,0,Train/1/00001_00002_00028.png
74,70,7,6,68,64,0,Train/1/00001_00002_00029.png
25,26,5,6,20,21,0,Train/1/00001_00003_00000.png
27,27,6,6,21,22,0,Train/1/00001_00003_00001.png
27,27,6,5,21,21,0,Train/1/00001_00003_00002.png
28,28,6,5,22,22,0,Train/1/00001_00003_00003.png
27,30,5,6,22,24,0,Train/1/00001_00003_00004.png
29,31,5,6,23,25,0,Train/1/00001_00003_00005.png
29,32,5,6,24,26,0,Train/1/00001_00003_00006.png
33,33,6,6,28,27,0,Train/1/00001_00003_00007.png
34,33,6,6,29,28,0,Train/1/00001_00003_00008.png
35,35,6,6,29,29,0,Train/1/00001_00003_00009.png
36,37,5,6,30,31,0,Train/1/00001_00003_00010.png
37,38,5,6,31,32,0,Train/1/00001_00003_00011.png
37,37,5,5,32,32,0,Train/1/00001_00003_00012.png
37,39,5,6,32,33,0,Train/1/00001_00003_00013.png
39,39,6,6,34,34,0,Train/1/00001_00003_00014.png
41,41,6,6,36,36,0,Train/1/00001_00003_00015.png
42,43,5,6,37,38,0,Train/1/00001_00003_00016.png
46,45,5,5,40,40,0,Train/1/00001_00003_00017.png
50,49,6,5,45,44,0,Train/1/00001_00003_00018.png
54,53,6,5,49,48,0,Train/1/00001_00003_00019.png
54,56,5,6,48,50,0,Train/1/00001_00003_00020.png
58,59,6,6,52,53,0,Train/1/00001_00003_00021.png
63,64,6,6,58,59,0,Train/1/00001_00003_00022.png
70,72,6,7,64,66,0,Train/1/00001_00003_00023.png
76,79,6,7,70,72,0,Train/1/00001_00003_00024.png
86,86,8,7,79,79,0,Train/1/00001_00003_00025.png
98,98,9,9,89,90,0,Train/1/00001_00003_00026.png
114,117,10,10,104,106,0,Train/1/00001_00003_00027.png
134,141,11,13,122,128,0,Train/1/00001_00003_00028.png
164,170,15,14,150,156,0,Train/1/00001_00003_00029.png
40,40,6,5,35,35,0,Train/1/00001_00004_00000.png
41,42,5,6,36,37,0,Train/1/00001_00004_00001.png
43,42,6,5,38,37,0,Train/1/00001_00004_00002.png
44,46,5,5,39,41,0,Train/1/00001_00004_00003.png
49,47,6,5,44,42,0,Train/1/00001_00004_00004.png
52,51,6,5,47,46,0,Train/1/00001_00004_00005.png
53,52,6,5,48,47,0,Train/1/00001_00004_00006.png
60,61,5,5,55,56,0,Train/1/00001_00004_00007.png
62,65,5,6,57,60,0,Train/1/00001_00004_00008.png
73,75,6,7,67,69,0,Train/1/00001_00004_00009.png
83,80,8,7,76,73,0,Train/1/00001_00004_00010.png
92,88,9,7,84,81,0,Train/1/00001_00004_00011.png
28,29,5,5,23,24,0,Train/1/00001_00004_00012.png
31,32,6,6,26,27,0,Train/1/00001_00004_00013.png
31,32,5,6,26,27,0,Train/1/00001_00004_00014.png
33,32,6,5,28,27,0,Train/1/00001_00004_00015.png
32,32,6,5,27,27,0,Train/1/00001_00004_00016.png
34,35,6,6,29,30,0,Train/1/00001_00004_00017.png
34,36,5,6,29,31,0,Train/1/00001_00004_00018.png
36,37,6,6,31,32,0,Train/1/00001_00004_00019.png
37,38,5,6,32,33,0,Train/1/00001_00004_00020.png
39,39,5,5,34,34,0,Train/1/00001_00004_00021.png
41,41,6,6,36,36,0,Train/1/00001_00004_00022.png
44,43,6,5,39,38,0,Train/1/00001_00004_00023.png
47,46,6,5,42,41,0,Train/1/00001_00004_00024.png
48,48,6,6,43,43,0,Train/1/00001_00004_00025.png
50,51,6,6,45,46,0,Train/1/00001_00004_00026.png
55,55,6,6,50,50,0,Train/1/00001_00004_00027.png
59,59,6,6,54,54,0,Train/1/00001_00004_00028.png
63,64,5,6,58,59,0,Train/1/00001_00004_00029.png
30,28,6,5,25,23,0,Train/1/00001_00005_00000.png
29,30,5,5,24,25,0,Train/1/00001_00005_00001.png
29,31,5,6,24,26,0,Train/1/00001_00005_00002.png
30,30,5,5,25,25,0,Train/1/00001_00005_00003.png
32,31,6,5,26,25,0,Train/1/00001_00005_00004.png
33,32,6,5,28,27,0,Train/1/00001_00005_00005.png
32,34,5,6,27,29,0,Train/1/00001_00005_00006.png
34,32,6,6,29,27,0,Train/1/00001_00005_00007.png
33,35,5,6,28,29,0,Train/1/00001_00005_00008.png
34,35,5,6,29,30,0,Train/1/00001_00005_00009.png
36,36,6,6,31,31,0,Train/1/00001_00005_00010.png
38,38,6,6,32,32,0,Train/1/00001_00005_00011.png
39,39,5,6,33,34,0,Train/1/00001_00005_00012.png
39,40,5,6,34,35,0,Train/1/00001_00005_00013.png
42,40,5,6,37,35,0,Train/1/00001_00005_00014.png
43,43,6,6,38,38,0,Train/1/00001_00005_00015.png
46,44,6,5,41,39,0,Train/1/00001_00005_00016.png
47,46,5,5,41,40,0,Train/1/00001_00005_00017.png
49,47,5,5,43,42,0,Train/1/00001_00005_00018.png
51,50,6,6,46,45,0,Train/1/00001_00005_00019.png
50,49,5,5,45,44,0,Train/1/00001_00005_00020.png
53,52,5,5,48,47,0,Train/1/00001_00005_00021.png
55,53,6,5,50,48,0,Train/1/00001_00005_00022.png
57,55,6,5,52,50,0,Train/1/00001_00005_00023.png
58,57,6,5,53,52,0,Train/1/00001_00005_00024.png
59,57,5,5,53,52,0,Train/1/00001_00005_00025.png
61,59,6,6,55,54,0,Train/1/00001_00005_00026.png
62,62,5,6,57,57,0,Train/1/00001_00005_00027.png
63,63,5,6,57,57,0,Train/1/00001_00005_00028.png
64,63,5,6,58,58,0,Train/1/00001_00005_00029.png
44,50,6,6,39,45,0,Train/1/00001_00006_00000.png
43,49,5,5,38,44,0,Train/1/00001_00006_00001.png
44,50,6,5,39,45,0,Train/1/00001_00006_00002.png
43,50,5,5,38,45,0,Train/1/00001_00006_00003.png
43,51,5,5,38,45,0,Train/1/00001_00006_00004.png
44,51,5,5,39,46,0,Train/1/00001_00006_00005.png
46,53,6,5,40,47,0,Train/1/00001_00006_00006.png
46,54,5,6,40,49,0,Train/1/00001_00006_00007.png
46,55,5,6,41,50,0,Train/1/00001_00006_00008.png
47,56,5,6,42,51,0,Train/1/00001_00006_00009.png
50,58,6,6,44,53,0,Train/1/00001_00006_00010.png
50,59,5,5,44,53,0,Train/1/00001_00006_00011.png
51,59,5,5,45,54,0,Train/1/00001_00006_00012.png
52,62,5,6,47,57,0,Train/1/00001_00006_00013.png
55,63,6,5,49,58,0,Train/1/00001_00006_00014.png
55,67,5,6,50,61,0,Train/1/00001_00006_00015.png
57,70,5,7,52,64,0,Train/1/00001_00006_00016.png
61,72,6,6,55,65,0,Train/1/00001_00006_00017.png
62,76,5,7,57,69,0,Train/1/00001_00006_00018.png
64,77,5,7,59,71,0,Train/1/00001_00006_00019.png
69,81,6,7,63,74,0,Train/1/00001_00006_00020.png
73,84,7,7,67,77,0,Train/1/00001_00006_00021.png
76,89,6,8,70,82,0,Train/1/00001_00006_00022.png
83,95,7,8,76,87,0,Train/1/00001_00006_00023.png
88,101,7,9,81,93,0,Train/1/00001_00006_00024.png
96,108,8,9,88,99,0,Train/1/00001_00006_00025.png
106,117,10,10,97,107,0,Train/1/00001_00006_00026.png
109,123,9,11,100,112,0,Train/1/00001_00006_00027.png
122,135,10,12,112,123,0,Train/1/00001_00006_00028.png
140,148,13,13,128,136,0,Train/1/00001_00006_00029.png
50,49,5,5,45,44,0,Train/1/00001_00007_00000.png
51,51,5,6,46,46,0,Train/1/00001_00007_00001.png
52,52,5,5,47,46,0,Train/1/00001_00007_00002.png
53,53,5,5,48,47,0,Train/1/00001_00007_00003.png
54,54,5,5,49,49,0,Train/1/00001_00007_00004.png
55,56,5,6,50,50,0,Train/1/00001_00007_00005.png
56,56,5,6,51,51,0,Train/1/00001_00007_00006.png
57,57,5,6,52,52,0,Train/1/00001_00007_00007.png
58,58,5,6,53,53,0,Train/1/00001_00007_00008.png
59,59,5,6,54,54,0,Train/1/00001_00007_00009.png
60,59,5,5,55,54,0,Train/1/00001_00007_00010.png
61,62,5,6,56,56,0,Train/1/00001_00007_00011.png
62,63,5,6,57,57,0,Train/1/00001_00007_00012.png
64,64,5,6,59,59,0,Train/1/00001_00007_00013.png
69,64,7,5,62,59,0,Train/1/00001_00007_00014.png
69,67,6,6,63,61,0,Train/1/00001_00007_00015.png
71,69,6,6,65,62,0,Train/1/00001_00007_00016.png
74,71,7,7,68,65,0,Train/1/00001_00007_00017.png
75,72,6,6,69,66,0,Train/1/00001_00007_00018.png
80,75,8,7,73,69,0,Train/1/00001_00007_00019.png
82,77,8,7,75,71,0,Train/1/00001_00007_00020.png
84,81,7,8,76,74,0,Train/1/00001_00007_00021.png
86,83,7,7,79,76,0,Train/1/00001_00007_00022.png
88,84,8,7,81,77,0,Train/1/00001_00007_00023.png
88,86,7,7,81,79,0,Train/1/00001_00007_00024.png
95,92,9,9,86,84,0,Train/1/00001_00007_00025.png
97,96,8,9,89,88,0,Train/1/00001_00007_00026.png
100,98,8,8,92,90,0,Train/1/00001_00007_00027.png
107,104,10,9,98,95,0,Train/1/00001_00007_00028.png
112,110,10,10,103,101,0,Train/1/00001_00007_00029.png
44,47,5,5,39,42,0,Train/1/00001_00008_00000.png
44,46,6,5,39,41,0,Train/1/00001_00008_00001.png
43,46,5,5,38,41,0,Train/1/00001_00008_00002.png
43,47,5,5,38,42,0,Train/1/00001_00008_00003.png
43,47,5,5,38,42,0,Train/1/00001_00008_00004.png
43,47,5,5,38,42,0,Train/1/00001_00008_00005.png
46,50,6,6,41,45,0,Train/1/00001_00008_00006.png
46,49,6,5,41,44,0,Train/1/00001_00008_00007.png
45,49,5,6,40,44,0,Train/1/00001_00008_00008.png
46,51,5,5,41,46,0,Train/1/00001_00008_00009.png
47,51,6,5,42,46,0,Train/1/00001_00008_00010.png
48,51,6,5,43,46,0,Train/1/00001_00008_00011.png
47,50,6,5,42,45,0,Train/1/00001_00008_00012.png
49,53,5,6,44,48,0,Train/1/00001_00008_00013.png
48,52,5,5,43,47,0,Train/1/00001_00008_00014.png
48,55,5,6,43,50,0,Train/1/00001_00008_00015.png
51,54,5,5,46,49,0,Train/1/00001_00008_00016.png
51,56,5,5,46,51,0,Train/1/00001_00008_00017.png
51,56,5,5,46,51,0,Train/1/00001_00008_00018.png
54,58,6,5,49,53,0,Train/1/00001_00008_00019.png
53,59,5,5,48,54,0,Train/1/00001_00008_00020.png
53,59,5,5,48,54,0,Train/1/00001_00008_00021.png
56,61,6,5,51,56,0,Train/1/00001_00008_00022.png
57,62,6,5,52,57,0,Train/1/00001_00008_00023.png
57,62,5,5,52,57,0,Train/1/00001_00008_00024.png
60,64,6,5,55,59,0,Train/1/00001_00008_00025.png
60,65,6,6,55,60,0,Train/1/00001_00008_00026.png
62,70,6,7,57,64,0,Train/1/00001_00008_00027.png
64,72,6,7,59,66,0,Train/1/00001_00008_00028.png
68,74,7,6,62,68,0,Train/1/00001_00008_00029.png
28,30,5,6,23,25,0,Train/1/00001_00009_00000.png
28,29,5,5,23,24,0,Train/1/00001_00009_00001.png
30,30,6,5,25,24,0,Train/1/00001_00009_00002.png
30,31,5,6,25,26,0,Train/1/00001_00009_00003.png
31,31,5,5,25,25,0,Train/1/00001_00009_00004.png
33,33,6,6,27,28,0,Train/1/00001_00009_00005.png
33,34,6,6,28,29,0,Train/1/00001_00009_00006.png
34,33,6,5,28,27,0,Train/1/00001_00009_00007.png
33,33,5,5,28,28,0,Train/1/00001_00009_00008.png
34,34,5,6,29,29,0,Train/1/00001_00009_00009.png
35,34,5,5,30,29,0,Train/1/00001_00009_00010.png
36,36,5,6,30,30,0,Train/1/00001_00009_00011.png
38,37,6,6,33,32,0,Train/1/00001_00009_00012.png
38,37,5,5,33,32,0,Train/1/00001_00009_00013.png
39,39,6,6,34,34,0,Train/1/00001_00009_00014.png
40,40,6,6,35,35,0,Train/1/00001_00009_00015.png
41,40,6,5,36,35,0,Train/1/00001_00009_00016.png
42,42,6,6,37,37,0,Train/1/00001_00009_00017.png
43,44,5,6,38,39,0,Train/1/00001_00009_00018.png
45,44,5,5,40,39,0,Train/1/00001_00009_00019.png
46,45,5,5,41,40,0,Train/1/00001_00009_00020.png
47,47,5,5,42,41,0,Train/1/00001_00009_00021.png
51,50,5,5,46,45,0,Train/1/00001_00009_00022.png
55,53,6,5,50,48,0,Train/1/00001_00009_00023.png
57,55,6,5,52,50,0,Train/1/00001_00009_00024.png
57,58,5,6,52,53,0,Train/1/00001_00009_00025.png
59,60,5,5,54,55,0,Train/1/00001_00009_00026.png
63,64,5,6,58,59,0,Train/1/00001_00009_00027.png
69,68,7,6,63,62,0,Train/1/00001_00009_00028.png
73,71,7,6,67,65,0,Train/1/00001_00009_00029.png
29,28,6,6,24,23,0,Train/1/00001_00010_00000.png
31,29,6,6,25,24,0,Train/1/00001_00010_00001.png
31,30,6,5,26,24,0,Train/1/00001_00010_00002.png
31,31,6,6,26,26,0,Train/1/00001_00010_00003.png
30,29,6,5,25,24,0,Train/1/00001_00010_00004.png
31,31,6,6,26,26,0,Train/1/00001_00010_00005.png
30,32,5,6,25,26,0,Train/1/00001_00010_00006.png
32,32,6,6,27,27,0,Train/1/00001_00010_00007.png
32,34,5,6,27,28,0,Train/1/00001_00010_00008.png
34,33,6,5,29,28,0,Train/1/00001_00010_00009.png
36,34,6,6,30,29,0,Train/1/00001_00010_00010.png
36,35,6,5,31,29,0,Train/1/00001_00010_00011.png
37,36,6,5,32,30,0,Train/1/00001_00010_00012.png
37,38,5,6,32,33,0,Train/1/00001_00010_00013.png
37,37,5,5,32,32,0,Train/1/00001_00010_00014.png
39,39,6,5,34,33,0,Train/1/00001_00010_00015.png
41,41,6,6,36,36,0,Train/1/00001_00010_00016.png
41,42,5,5,36,36,0,Train/1/00001_00010_00017.png
44,44,6,6,39,39,0,Train/1/00001_00010_00018.png
45,45,6,5,40,39,0,Train/1/00001_00010_00019.png
47,47,6,5,42,42,0,Train/1/00001_00010_00020.png
48,49,5,6,43,44,0,Train/1/00001_00010_00021.png
51,51,6,6,46,46,0,Train/1/00001_00010_00022.png
54,53,6,5,49,48,0,Train/1/00001_00010_00023.png
57,56,6,5,52,51,0,Train/1/00001_00010_00024.png
60,59,6,5,55,54,0,Train/1/00001_00010_00025.png
64,64,5,5,59,59,0,Train/1/00001_00010_00026.png
71,71,7,7,65,65,0,Train/1/00001_00010_00027.png
76,76,7,7,70,70,0,Train/1/00001_00010_00028.png
84,86,7,8,77,79,0,Train/1/00001_00010_00029.png
27,28,5,5,22,23,0,Train/1/00001_00011_00000.png
29,29,6,5,24,24,0,Train/1/00001_00011_00001.png
29,31,5,6,24,26,0,Train/1/00001_00011_00002.png
30,33,5,6,25,28,0,Train/1/00001_00011_00003.png
31,33,6,5,26,27,0,Train/1/00001_00011_00004.png
29,31,5,5,24,26,0,Train/1/00001_00011_00005.png
30,32,5,5,25,27,0,Train/1/00001_00011_00006.png
31,33,5,5,26,28,0,Train/1/00001_00011_00007.png
33,35,5,5,28,30,0,Train/1/00001_00011_00008.png
35,36,5,5,30,31,0,Train/1/00001_00011_00009.png
36,37,6,6,31,32,0,Train/1/00001_00011_00010.png
37,36,6,5,32,31,0,Train/1/00001_00011_00011.png
38,39,6,6,33,33,0,Train/1/00001_00011_00012.png
40,40,6,6,34,34,0,Train/1/00001_00011_00013.png
40,40,5,5,35,35,0,Train/1/00001_00011_00014.png
41,42,5,6,36,37,0,Train/1/00001_00011_00015.png
42,42,5,5,37,37,0,Train/1/00001_00011_00016.png
45,43,6,6,40,38,0,Train/1/00001_00011_00017.png
47,45,6,6,42,40,0,Train/1/00001_00011_00018.png
48,46,6,5,43,40,0,Train/1/00001_00011_00019.png
50,48,5,5,45,43,0,Train/1/00001_00011_00020.png
54,52,6,6,49,47,0,Train/1/00001_00011_00021.png
57,55,6,6,51,50,0,Train/1/00001_00011_00022.png
59,58,6,6,54,53,0,Train/1/00001_00011_00023.png
64,63,5,5,58,57,0,Train/1/00001_00011_00024.png
73,71,7,7,66,65,0,Train/1/00001_00011_00025.png
79,77,7,7,72,71,0,Train/1/00001_00011_00026.png
91,88,8,7,83,81,0,Train/1/00001_00011_00027.png
104,107,9,10,95,97,0,Train/1/00001_00011_00028.png
121,124,11,10,111,113,0,Train/1/00001_00011_00029.png
28,30,5,6,23,25,0,Train/1/00001_00012_00000.png
28,29,5,5,23,24,0,Train/1/00001_00012_00001.png
28,29,5,5,23,24,0,Train/1/00001_00012_00002.png
30,31,6,5,24,25,0,Train/1/00001_00012_00003.png
30,32,6,6,25,27,0,Train/1/00001_00012_00004.png
30,32,6,6,25,27,0,Train/1/00001_00012_00005.png
30,32,5,6,24,27,0,Train/1/00001_00012_00006.png
33,34,6,5,28,29,0,Train/1/00001_00012_00007.png
33,34,6,5,28,29,0,Train/1/00001_00012_00008.png
34,36,6,6,29,31,0,Train/1/00001_00012_00009.png
35,36,6,5,30,31,0,Train/1/00001_00012_00010.png
37,37,6,5,32,32,0,Train/1/00001_00012_00011.png
37,38,5,5,32,33,0,Train/1/00001_00012_00012.png
38,40,5,6,32,34,0,Train/1/00001_00012_00013.png
39,41,5,6,33,35,0,Train/1/00001_00012_00014.png
41,42,5,6,35,37,0,Train/1/00001_00012_00015.png
43,43,6,5,38,38,0,Train/1/00001_00012_00016.png
44,45,5,5,39,40,0,Train/1/00001_00012_00017.png
45,48,5,6,40,42,0,Train/1/00001_00012_00018.png
49,48,6,5,43,43,0,Train/1/00001_00012_00019.png
52,51,5,5,46,46,0,Train/1/00001_00012_00020.png
54,53,5,5,49,48,0,Train/1/00001_00012_00021.png
57,56,5,5,51,50,0,Train/1/00001_00012_00022.png
60,60,6,6,55,55,0,Train/1/00001_00012_00023.png
64,63,6,5,59,58,0,Train/1/00001_00012_00024.png
68,69,6,7,62,63,0,Train/1/00001_00012_00025.png
74,75,6,7,68,69,0,Train/1/00001_00012_00026.png
84,83,8,7,77,76,0,Train/1/00001_00012_00027.png
97,97,8,9,88,89,0,Train/1/00001_00012_00028.png
108,109,9,10,99,100,0,Train/1/00001_00012_00029.png
42,42,5,5,37,37,0,Train/1/00001_00013_00000.png
43,43,5,5,38,38,0,Train/1/00001_00013_00001.png
44,43,6,5,39,38,0,Train/1/00001_00013_00002.png
45,44,6,5,39,38,0,Train/1/00001_00013_00003.png
45,46,5,6,40,41,0,Train/1/00001_00013_00004.png
45,45,5,5,40,40,0,Train/1/00001_00013_00005.png
46,45,6,5,41,40,0,Train/1/00001_00013_00006.png
47,46,6,5,42,41,0,Train/1/00001_00013_00007.png
47,48,5,6,41,42,0,Train/1/00001_00013_00008.png
47,49,5,6,42,43,0,Train/1/00001_00013_00009.png
48,49,5,6,43,44,0,Train/1/00001_00013_00010.png
50,51,6,6,44,45,0,Train/1/00001_00013_00011.png
50,52,6,6,45,46,0,Train/1/00001_00013_00012.png
50,52,6,6,45,47,0,Train/1/00001_00013_00013.png
51,54,6,6,45,48,0,Train/1/00001_00013_00014.png
52,54,5,5,47,49,0,Train/1/00001_00013_00015.png
53,56,5,5,48,50,0,Train/1/00001_00013_00016.png
55,58,5,6,50,53,0,Train/1/00001_00013_00017.png
56,60,5,6,51,54,0,Train/1/00001_00013_00018.png
58,60,5,5,52,54,0,Train/1/00001_00013_00019.png
58,61,5,5,53,56,0,Train/1/00001_00013_00020.png
60,63,5,5,55,58,0,Train/1/00001_00013_00021.png
62,66,6,6,57,60,0,Train/1/00001_00013_00022.png
64,69,6,7,59,63,0,Train/1/00001_00013_00023.png
69,71,6,7,62,65,0,Train/1/00001_00013_00024.png
72,74,6,6,66,68,0,Train/1/00001_00013_00025.png
75,80,6,8,69,73,0,Train/1/00001_00013_00026.png
81,82,8,7,74,75,0,Train/1/00001_00013_00027.png
84,86,7,7,77,79,0,Train/1/00001_00013_00028.png
92,93,9,8,84,85,0,Train/1/00001_00013_00029.png
30,28,5,5,25,23,0,Train/1/00001_00014_00000.png
30,28,5,5,24,23,0,Train/1/00001_00014_00001.png
30,31,5,6,24,25,0,Train/1/00001_00014_00002.png
32,31,6,5,26,25,0,Train/1/00001_00014_00003.png
32,31,6,5,27,26,0,Train/1/00001_00014_00004.png
31,32,5,6,26,27,0,Train/1/00001_00014_00005.png
33,32,6,5,27,26,0,Train/1/00001_00014_00006.png
33,32,6,5,28,27,0,Train/1/00001_00014_00007.png
32,33,5,6,27,28,0,Train/1/00001_00014_00008.png
34,33,6,5,29,28,0,Train/1/00001_00014_00009.png
34,34,5,5,29,29,0,Train/1/00001_00014_00010.png
36,36,5,5,30,30,0,Train/1/00001_00014_00011.png
38,38,6,6,32,32,0,Train/1/00001_00014_00012.png
38,39,5,6,33,34,0,Train/1/00001_00014_00013.png
39,40,5,6,34,35,0,Train/1/00001_00014_00014.png
40,40,6,6,35,35,0,Train/1/00001_00014_00015.png
40,39,6,5,35,34,0,Train/1/00001_00014_00016.png
41,41,5,5,35,35,0,Train/1/00001_00014_00017.png
42,42,5,5,37,37,0,Train/1/00001_00014_00018.png
44,44,5,5,39,39,0,Train/1/00001_00014_00019.png
46,46,5,5,40,41,0,Train/1/00001_00014_00020.png
48,49,6,5,43,43,0,Train/1/00001_00014_00021.png
50,51,5,5,45,46,0,Train/1/00001_00014_00022.png
54,57,5,6,49,52,0,Train/1/00001_00014_00023.png
61,61,5,6,55,55,0,Train/1/00001_00014_00024.png
68,63,6,5,62,58,0,Train/1/00001_00014_00025.png
75,71,6,6,68,65,0,Train/1/00001_00014_00026.png
82,76,7,7,75,70,0,Train/1/00001_00014_00027.png
94,84,8,7,86,77,0,Train/1/00001_00014_00028.png
124,105,11,9,114,95,0,Train/1/00001_00014_00029.png
25,27,5,5,20,21,0,Train/1/00001_00015_00000.png
27,28,6,6,22,22,0,Train/1/00001_00015_00001.png
27,27,6,5,22,21,0,Train/1/00001_00015_00002.png
26,28,5,5,21,22,0,Train/1/00001_00015_00003.png
29,29,6,6,23,24,0,Train/1/00001_00015_00004.png
28,28,5,5,23,23,0,Train/1/00001_00015_00005.png
29,29,5,5,23,23,0,Train/1/00001_00015_00006.png
30,32,6,6,25,26,0,Train/1/00001_00015_00007.png
32,32,6,5,26,26,0,Train/1/00001_00015_00008.png
33,34,6,6,27,28,0,Train/1/00001_00015_00009.png
32,34,5,5,27,28,0,Train/1/00001_00015_00010.png
34,36,6,6,29,30,0,Train/1/00001_00015_00011.png
35,37,5,6,30,31,0,Train/1/00001_00015_00012.png
